AverageTemperature,City,Country,Year,Month
24.722,0.0,1.0,1882.0,2.0
24.679,0.0,1.0,1882.0,3.0
24.902,0.0,1.0,1882.0,4.0
25.431,0.0,1.0,1882.0,5.0
26.862,0.0,1.0,1882.0,6.0
27.226,0.0,1.0,1882.0,7.0
26.557,0.0,1.0,1882.0,8.0
26.607,0.0,1.0,1882.0,9.0
26.721,0.0,1.0,1882.0,10.0
25.527,0.0,1.0,1882.0,11.0
24.461,0.0,1.0,1882.0,12.0
23.9,0.0,1.0,1883.0,1.0
23.475,0.0,1.0,1883.0,2.0
23.118,0.0,1.0,1883.0,3.0
24.388,0.0,1.0,1883.0,4.0
25.202,0.0,1.0,1883.0,5.0
26.69,0.0,1.0,1883.0,6.0
26.8,0.0,1.0,1883.0,7.0
26.617,0.0,1.0,1883.0,8.0
26.331,0.0,1.0,1883.0,9.0
26.6,0.0,1.0,1883.0,10.0
26.118,0.0,1.0,1883.0,11.0
25.027,0.0,1.0,1883.0,12.0
23.614,0.0,1.0,1884.0,1.0
23.356,0.0,1.0,1884.0,2.0
23.919,0.0,1.0,1884.0,3.0
24.378,0.0,1.0,1884.0,4.0
24.397,0.0,1.0,1884.0,5.0
27.363,0.0,1.0,1884.0,6.0
27.004,0.0,1.0,1884.0,7.0
26.539,0.0,1.0,1884.0,8.0
26.664,0.0,1.0,1884.0,9.0
26.164,0.0,1.0,1884.0,10.0
25.838,0.0,1.0,1884.0,11.0
25.245,0.0,1.0,1884.0,12.0
24.303,0.0,1.0,1885.0,1.0
23.785,0.0,1.0,1885.0,2.0
24.357,0.0,1.0,1885.0,3.0
23.853,0.0,1.0,1885.0,4.0
25.606,0.0,1.0,1885.0,5.0
27.231,0.0,1.0,1885.0,6.0
27.113,0.0,1.0,1885.0,7.0
26.814,0.0,1.0,1885.0,8.0
26.808,0.0,1.0,1885.0,9.0
26.4,0.0,1.0,1885.0,10.0
26.06,0.0,1.0,1885.0,11.0
25.404,0.0,1.0,1885.0,12.0
24.253,0.0,1.0,1886.0,1.0
23.399,0.0,1.0,1886.0,2.0
24.98,0.0,1.0,1886.0,3.0
24.71,0.0,1.0,1886.0,4.0
26.259,0.0,1.0,1886.0,5.0
27.115,0.0,1.0,1886.0,6.0
27.524,0.0,1.0,1886.0,7.0
27.24,0.0,1.0,1886.0,8.0
26.688,0.0,1.0,1886.0,9.0
26.39,0.0,1.0,1886.0,10.0
25.584,0.0,1.0,1886.0,11.0
24.364,0.0,1.0,1886.0,12.0
23.478,0.0,1.0,1887.0,1.0
23.844,0.0,1.0,1887.0,2.0
23.249,0.0,1.0,1887.0,3.0
23.695,0.0,1.0,1887.0,4.0
25.716,0.0,1.0,1887.0,5.0
26.584,0.0,1.0,1887.0,6.0
26.884,0.0,1.0,1887.0,7.0
26.845,0.0,1.0,1887.0,8.0
26.509,0.0,1.0,1887.0,9.0
25.656,0.0,1.0,1887.0,10.0
25.945,0.0,1.0,1887.0,11.0
25.186,0.0,1.0,1887.0,12.0
24.152,0.0,1.0,1888.0,1.0
23.587,0.0,1.0,1888.0,2.0
23.337,0.0,1.0,1888.0,3.0
23.872,0.0,1.0,1888.0,4.0
25.366,0.0,1.0,1888.0,5.0
26.435,0.0,1.0,1888.0,6.0
27.178,0.0,1.0,1888.0,7.0
27.15,0.0,1.0,1888.0,8.0
26.036,0.0,1.0,1888.0,9.0
26.766,0.0,1.0,1888.0,10.0
26.317,0.0,1.0,1888.0,11.0
25.111,0.0,1.0,1888.0,12.0
24.982,0.0,1.0,1889.0,1.0
24.973,0.0,1.0,1889.0,2.0
23.718,0.0,1.0,1889.0,3.0
24.608,0.0,1.0,1889.0,4.0
26.134,0.0,1.0,1889.0,5.0
28.08,0.0,1.0,1889.0,6.0
27.731,0.0,1.0,1889.0,7.0
26.961,0.0,1.0,1889.0,8.0
26.76,0.0,1.0,1889.0,9.0
25.93,0.0,1.0,1889.0,10.0
26.247,0.0,1.0,1889.0,11.0
24.949,0.0,1.0,1889.0,12.0
25.202,0.0,1.0,1890.0,1.0
23.68,0.0,1.0,1890.0,2.0
22.862,0.0,1.0,1890.0,3.0
24.783,0.0,1.0,1890.0,4.0
25.93,0.0,1.0,1890.0,5.0
26.491,0.0,1.0,1890.0,6.0
27.141,0.0,1.0,1890.0,7.0
26.607,0.0,1.0,1890.0,8.0
26.297,0.0,1.0,1890.0,9.0
